"creation_date","status","completion_date","service_request_number","type_of_service_request","license_plate","vehicle_make_model","vehicle_color","current_activity","most_recent_action","how_many_days_has_the_vehicle_been_reported_as_parked_","street_address","zip_code","x_coordinate","y_coordinate","ward","police_district","community_area","ssa","latitude","longitude","location","location_address","location_city","location_state","location_zip"
"2018-08-03T00:00:00.000","Completed","2018-09-13T00:00:00.000","18-02292455","Abandoned Vehicle Complaint","V289258","Hyundai","Gold","FVI - Outcome","Vehicle was moved from original address requested","90","451 W BRIAR PL","60657","1172668.38430689","1921028.63870025","44","19","6","8","41.93862231107645","-87.64146511312337","POINT (41.93862231107645 -87.64146511312337)",,,,
"2016-07-05T00:00:00.000","Completed","2016-07-26T00:00:00.000","16-04727152","Abandoned Vehicle Complaint","F944913","Kia Motors Corp","Black","FVI - Outcome","Vehicle was moved from original address requested","22","739 W WAVELAND AVE","60613","1170682.12937177","1924859.0545935","46","19","6","8","41.94914161205285","-87.64807480695825","POINT (41.94914161205285 -87.64807480695825)",,,,
"2016-03-28T00:00:00.000","Completed","2016-05-23T00:00:00.000","16-02089973","Abandoned Vehicle Complaint","HAS PLATES","Pontiac","White","FVI - Outcome","Vehicle was moved from original address requested","30","2846 N ORCHARD ST","60657","1171141.18992796","1919130.11279374","44","19","6","8","41.93407630851206","-87.64685547531721","POINT (41.93407630851206 -87.64685547531721)",,,,
"2011-08-30T00:00:00.000","Completed","2011-09-02T00:00:00.000","11-03695903","Abandoned Vehicle Complaint","DCD7645","Pontiac","Black","FVI - Outcome","Vehicle was moved from original address requested","19","420 W ROSCOE ST","60657",,,"44","23","6","8","41.94347160932896","-87.64138536336351","POINT (41.94347160932896 -87.64138536336351)",,,,
"2015-02-05T00:00:00.000","Completed","2015-03-09T00:00:00.000","15-00218415","Abandoned Vehicle Complaint","PP6346","Honda","Silver","FVI - Outcome","Need Vehicle Tow Report","7","557 W HAWTHORNE PL","60657",,,"44","19","6","8","41.944327504854414","-87.64353585836693","POINT (41.944327504854414 -87.64353585836693)",,,,
"2011-05-20T00:00:00.000","Completed","2011-06-10T00:00:00.000","11-01944093","Abandoned Vehicle Complaint","4YIZ672","Audi","Silver","FVI - Outcome","Need Vehicle Tow Report","120","752 W BROMPTON AVE","60657",,,"46","23","6","8","41.94648571138534","-87.64875131558323","POINT (41.94648571138534 -87.64875131558323)",,,,
"2016-02-26T00:00:00.000","Completed","2016-06-03T00:00:00.000","16-01167174","Abandoned Vehicle Complaint","Y73 6575","Chevrolet","Green","FVI - Outcome","Vehicle was moved from original address requested","120","551 W ROSCOE ST","60657","1171925.18192782","1922697.08003297","44","19","6","8","41.943221562847484","-87.6439724631053","POINT (41.943221562847484 -87.6439724631053)",,,,
"2019-08-07T00:00:00.000","Completed","2019-08-27T00:00:00.000","19-00101608","Abandoned Vehicle Complaint","H29HFT","Toyota","Silver","Initial Inspection","Proceed with Tow Case",,"607 W BELMONT","60657","1171640.21469151","1921494.32542311","44","19","6","8","41.939927870321974","-87.64473625518377","POINT (41.939927870321974 -87.64473625518377)",,,,
"2016-03-08T00:00:00.000","Completed - Dup","2016-03-08T00:00:00.000","16-01476085","Abandoned Vehicle Complaint","JXL5344","Honda","Silver","FVI - Outcome","Create Work Order","45","3616 N PINE GROVE AVE","60613","1171279.60248021","1924520.82966608","46","19","6","8","41.9483645553631","-87.64597240404288","POINT (41.9483645553631 -87.64597240404288)",,,,
"2019-09-15T00:00:00.000","Completed - Dup","2019-09-16T00:00:00.000","19-00116331","Abandoned Vehicle Complaint","322LQP","Ford","Black",,,,"427 W MELROSE ST","60657","1172728.6777231","1921920.16858262","44","19","6","8","41.94107840656625","-87.64063032564844","POINT (41.94107840656625 -87.64063032564844)",,,,
