TIME,ISSUE_SYM_ID,AVG_ENTRD_UNIT_PR,SHORT_SELL_QTY,SELL_QTY,BUY_QTY
14:00:00,AAPL,251.4188479,4268,29658,29658
14:00:30,AAPL,251.3473104,1852,17126,17126
14:01:00,AAPL,251.3050839,2094,16288,16288
14:01:30,AAPL,251.2025317,11991,58683,58683
14:02:00,AAPL,251.2434953,4176,14862,14862
14:02:30,AAPL,251.2247487,1503,10293,10293
14:03:00,AAPL,251.0012559,11767,58691,58691
14:03:30,AAPL,251.0590189,10052,36788,36788
14:04:00,AAPL,251.1022411,2842,14525,14525
14:04:30,AAPL,250.7952933,10070,78462,78462
14:05:00,AAPL,250.6991487,7172,40702,40702
14:05:30,AAPL,250.5157226,13555,88667,88667
14:06:00,AAPL,250.7970024,58998,144679,144679
14:06:30,AAPL,250.2867165,13398,58619,58619
14:07:00,AAPL,250.1818401,18829,67211,67211
14:07:30,AAPL,250.4187025,17494,51187,51187
14:08:00,AAPL,250.4499806,10301,41836,41836
14:08:30,AAPL,250.3571014,19910,56412,56412
14:09:00,AAPL,250.2427232,20182,58013,58013
14:09:30,AAPL,250.3037014,14762,83769,83769
14:10:00,AAPL,250.0265221,119466,341106,341106
14:10:30,AAPL,249.972778,40616,143406,143406
14:11:00,AAPL,249.8816473,20097,85111,85111
14:11:30,AAPL,249.4506644,31696,123545,123545
14:12:00,AAPL,249.399692,24768,88700,88700
14:12:30,AAPL,249.7346078,53076,149920,149920
14:13:00,AAPL,250.0724813,24664,73189,73189
14:13:30,AAPL,250.2093831,15823,58745,58745
14:14:00,AAPL,250.3008571,24691,73687,73687
14:14:30,AAPL,250.4016769,12530,38559,38559
14:15:00,AAPL,250.3709212,24751,56931,56931
14:15:30,AAPL,250.3936826,25820,71831,71831
14:16:00,AAPL,250.1731591,18908,43702,43702
14:16:30,AAPL,249.9849633,19240,50832,50832
14:17:00,AAPL,249.5482343,25077,71771,71771
14:17:30,AAPL,249.4733323,13049,42973,42973
14:18:00,AAPL,249.0206782,55530,181566,181566
14:18:30,AAPL,249.027079,26172,95150,95150
14:19:00,AAPL,249.056491,21603,115616,115616
14:19:30,AAPL,248.7804496,33328,101943,101943
14:20:00,AAPL,248.1410052,50438,250535,250535
14:20:30,AAPL,247.6374641,31396,235650,235650
14:21:00,AAPL,246.951715,71272,254982,254982
14:21:30,AAPL,247.4414956,38394,132598,132598
14:22:00,AAPL,247.3829723,32280,147796,147796
14:22:30,AAPL,247.697349,25240,101064,101064
14:23:00,AAPL,247.8487762,24001,105453,105453
14:23:30,AAPL,247.8005904,63700,218305,218305
14:24:00,AAPL,247.9595478,29619,87913,87913
14:24:30,AAPL,248.2482899,42920,109491,109491
14:25:00,AAPL,248.1338511,11077,81230,81230
14:25:30,AAPL,247.9546495,15597,82657,82657
14:26:00,AAPL,247.8636698,25853,95419,95419
14:26:30,AAPL,247.8576569,16620,101374,101374
14:27:00,AAPL,247.8092329,16811,88429,88429
14:27:30,AAPL,248.1577101,21581,91202,91202
14:28:00,AAPL,248.1121372,18792,63817,63817
14:28:30,AAPL,248.1625027,11073,42068,42068
14:29:00,AAPL,248.2759402,14726,87528,87528
14:29:30,AAPL,247.8458911,15308,78096,78096
14:30:00,AAPL,247.677593,8218,72387,72387
14:30:30,AAPL,247.1725925,21495,126996,126996
14:31:00,AAPL,246.9506356,19177,179263,179263
14:31:30,AAPL,246.3119974,17924,147989,147989
14:32:00,AAPL,246.2624081,24978,89544,89544
14:32:30,AAPL,246.29277,26224,118871,118871
14:33:00,AAPL,246.5457697,45049,147792,147792
14:33:30,AAPL,246.5034595,13618,65526,65526
14:34:00,AAPL,246.5095641,23902,65965,65965
14:34:30,AAPL,246.7397939,20609,65990,65990
14:35:00,AAPL,245.3185162,43243,414936,414936
14:35:30,AAPL,244.1295383,57993,472697,472697
14:36:00,AAPL,243.9427446,22768,254974,254974
14:36:30,AAPL,242.8593786,36903,375783,375783
14:37:00,AAPL,240.37167350000001,101577,736695,736695
14:37:30,AAPL,239.4795791,113598,669898,669898
14:38:00,AAPL,241.4520692,26143,283121,283121
14:38:30,AAPL,242.0285558,18453,171125,171125
14:39:00,AAPL,240.7912552,24556,153357,153357
14:39:30,AAPL,239.5466991,23886,162077,162077
14:40:00,AAPL,237.8609844,40734,313018,313018
14:40:30,AAPL,239.0089369,23711,291893,291893
14:41:00,AAPL,240.4837155,16785,151166,151166
14:41:30,AAPL,240.9274548,19657,138471,138471
14:42:00,AAPL,240.4928785,18639,119731,119731
14:42:30,AAPL,239.707211,25178,137200,137200
14:43:00,AAPL,238.2024478,27311,174710,174710
14:43:30,AAPL,238.0680327,28189,165813,165813
14:44:00,AAPL,237.0945069,33340,225508,225508
14:44:30,AAPL,235.4018503,33758,294200,294200
14:45:00,AAPL,231.3019402,64247,354463,354463
14:45:30,AAPL,222.6394405,61840,764587,764587
14:46:00,AAPL,211.797837,68587,820608,820608
14:46:30,AAPL,205.766257,41819,945233,945233
14:47:00,AAPL,211.9238049,33493,496481,496481
14:47:30,AAPL,221.5312855,43065,449015,449015
14:48:00,AAPL,226.4572795,67976,450316,450316
14:48:30,AAPL,228.7842411,52250,352376,352376
14:49:00,AAPL,230.8819656,23853,305526,305526
14:49:30,AAPL,231.3765995,38356,235287,235287
14:50:00,AAPL,232.9282602,53411,303418,303418
14:50:30,AAPL,237.2861123,71029,350059,350059
14:01:00,AAXJ,53.05625714,0,1080,1080
14:01:30,AAXJ,53.07,0,100,100
14:02:30,AAXJ,53.06063333,300,980,980
14:03:30,AAXJ,53.06,300,600,600
14:04:00,AAXJ,52.99230455,60,4682,4682
14:04:30,AAXJ,52.96,0,280,280
14:06:00,AAXJ,52.976,0,102,102
14:06:30,AAXJ,52.97333333,1,12,12
14:07:00,AAXJ,52.89,0,200,200
14:08:00,AAXJ,52.91,0,180,180
14:08:30,AAXJ,52.84095,0,440,440
14:09:00,AAXJ,52.84,0,73,73
14:10:30,AAXJ,52.8,249,498,498
14:11:00,AAXJ,52.70346667,0,270,270
14:11:30,AAXJ,52.69546667,650,800,800
14:12:00,AAXJ,52.68,0,850,850
14:14:30,AAXJ,52.75095,300,830,830
14:15:30,AAXJ,52.78003333,200,300,300
14:16:30,AAXJ,52.76,100,100,100
14:17:00,AAXJ,52.708,1173,1173,1173
14:17:30,AAXJ,52.64525,4200,10200,10200
14:18:00,AAXJ,52.54309091,300,1170,1170
14:18:30,AAXJ,52.58,100,100,100
14:20:30,AAXJ,52.51,100,100,100
14:21:00,AAXJ,52.49636364,505,1505,1505
14:21:30,AAXJ,52.41,1900,2156,2156
14:22:00,AAXJ,52.32457143,300,10300,10300
14:22:30,AAXJ,52.31,0,21,21
14:23:30,AAXJ,52.358,0,560,560
14:24:00,AAXJ,52.43,100,100,100
14:24:30,AAXJ,52.53,0,95,95
14:26:00,AAXJ,52.58,100,144,144
14:29:00,AAXJ,52.44,0,100,100
14:29:30,AAXJ,52.38,0,24,24
