"","X","AreaStr","val_th","Ass","Bur","Mur","Rob","The","Mvt","Const","AreaSqM","type","prop_sqm","PAI_val_th","PAI_Ass","PAI_Bur","PAI_Mur","PAI_Rob","PAI_The","PAI_Mvt","LenMile","prop_len","PAI_valth_len"
"1",1,"1",116.898,7,8,0,4,32,10,61,0.0177351351226673,"DBSCAN",5.19150428901828e-05,13.296219092223,13.6694726150502,12.4122366146809,0,15.6222544172003,19.7980237131449,19.2065407282959,0.36800885117427,6.69319157079115e-05,10.3130737727926
"2",2,"2",209.56,6,9,1,4,14,2,36,0.0325070660240049,"DBSCAN",9.51560681775293e-05,13.0042766473271,6.39236695812076,7.6183215072376,58.7097836824052,8.52315594416102,4.72559638684742,2.09573263119963,1.28516118595993,0.000233739758963068,5.29407508907386
"3",3,"3",264.493,15,3,0,9,101,17,145,0.0302014928674507,"DBSCAN",8.84070962367411e-05,17.6661272886051,17.2008959680641,2.73330064968158,0,20.6410751616769,36.6943607647104,19.1736221164804,0.787513009028142,0.000143229583122703,10.9042488380089
"4",4,"4",311.864,28,14,0,19,12,11,84,0.0345047120274913,"DBSCAN",0.000101003662640898,18.2323404256461,28.1039811247069,11.1646262510716,0,38.1411172406736,3.81600734815556,10.8592024840648,0.2439748260463,4.43731242867592e-05,41.5010930852003
"5",5,"5",76.793,5,5,0,4,11,12,37,0.0387061228417693,"DBSCAN",0.000113302211319207,4.00218856682959,4.47382049447263,3.55455218344567,0,7.1581127911562,3.11831065030036,10.5605181830638,0.448514128884728,8.15738800100331e-05,5.55884818378712
"6",6,"6",192.154,14,30,0,6,22,6,78,0.0177351351226673,"DBSCAN",5.19150428901828e-05,21.8559914065854,27.3389452301005,46.5458873050534,0,23.4333816258004,13.6111413027871,11.5239244369775,0.301834308049041,5.48963656706383e-05,20.6690318642939
"7",7,"7",164.35,11,17,0,7,26,14,75,0.0329542001584059,"DBSCAN",9.64649382596874e-05,10.0603830465162,11.5603273196484,14.1949120754015,0,14.7131438613707,8.65703027297346,14.4710789758262,0.625015626542718,0.000113675236610205,8.53725277721454
"8",8,"8",393.227,23,21,1,10,25,7,87,0.0181077037246967,"DBSCAN",5.30056415701541e-05,43.8061951390256,43.9898698373652,31.9117392971026,105.396180732516,38.2520607281436,15.1489660428474,13.1679543780879,0.399466544874913,7.26533098983455e-05,31.9596654486941
"9",9,"9",164.371,15,9,0,5,14,5,48,0.034102418659779,"DBSCAN",9.98260523608087e-05,9.72289507495557,15.2333106362906,7.26192715826198,0,10.1555404241938,4.5045272384514,4.99422927232262,0.691090855446095,0.000125692723790826,7.72199220112699
"10",10,"10",183.701,9,4,0,5,88,4,110,0.0321158132594736,"DBSCAN",9.40107764213031e-05,11.5384687962529,9.70536351104248,3.42716984554251,0,10.7837372344916,30.0656163651643,4.24252803194837,0.414575840402463,7.54013255817428e-05,14.3862246701849
"11",11,"11",416.065,32,5,1,4,6,7,55,0.034934604197356,"DBSCAN",0.000102262061310111,24.0248641262115,31.7235931965362,3.93829947758046,54.630154205767,7.93089829913406,1.88452449466801,6.82536476416652,0.252501179555138,4.59238619185537e-05,53.4979425859029
"12",12,"12",201.886,21,5,0,6,3,7,42,0.0386810604322662,"DBSCAN",0.000113228847566674,10.5284251804554,18.8022206093366,3.55685526514577,0,10.744126062478,0.85099938556147,6.16429368466433,0.538743679011885,9.79844544410642e-05,12.1664345295912
"13",13,"13",1066.276,95,30,1,26,54,7,213,0.0924952293886327,"DBSCAN",0.000270755974941001,23.2544399069742,35.5707066054902,8.9247586736729,20.633310788389,19.4702815103736,6.40590936213042,2.57787799559791,2.12608992108029,0.000386684371669634,16.2827334384721
"14",14,"14",279.946,24,14,0,16,19,12,85,0.0435456658800361,"DBSCAN",0.000127468727822337,12.9683557004999,19.0877407023477,8.84662585592497,0,25.4503209364636,4.78756880402881,9.38685184405013,0.870994495201726,0.000158412847812974,10.435137212115
"15",15,"15",204.911,18,22,0,5,12,8,65,0.0297606975300449,"DBSCAN",8.71167813511236e-05,13.8892165855721,20.9467968162559,20.3410859779928,0,11.6371093423644,4.42429934681373,9.15652181099469,1.01726687692717,0.000185016258825517,6.53987845232984
"16",16,"16",208.972,14,20,0,13,28,15,90,0.0313186200622016,"DBSCAN",9.16771985409045e-05,13.4598761708135,15.4815214337048,17.5720300813606,0,28.751396948309,9.80983666872643,16.3144446201086,1.25253146048225,0.000227805200518957,5.41674964942239
"17",17,"17",160.779,12,13,0,3,27,15,70,0.0236885705832482,"DBSCAN",6.93421927338267e-05,13.6913430202877,17.5440805114891,15.1007687753341,0,8.77204025574455,12.5063699772592,21.5693002997967,0.446516207501133,8.12105063976563e-05,11.6904547035939
"18",18,"18",286.684,29,14,0,1,23,5,72,0.04040546930508,"DBSCAN",0.000118276610663664,14.3126115152917,24.8568483904234,9.53416011033347,0,1.7142654062361,6.24588586824044,4.21515454360177,0.738205972836712,0.000134261824929819,12.6085518401028
"19",19,"19",181.283,13,9,0,9,35,9,75,0.0388315172426644,"DBSCAN",0.000113669271150194,9.41734114792477,11.5943715468874,6.37753293749171,0,16.0537452187672,9.88985781768979,7.89481218655495,1.31746505925369,0.000239615052770372,4.4674251140774
"20",20,"20",430.257,45,19,0,3,19,11,97,0.0311575123549095,"DBSCAN",9.12055971983628e-05,27.85612818847,50.0193402132817,16.7797461232602,0,6.66924536177089,6.69109488405844,12.0257885255025,0.803733630052086,0.000146179722054525,17.3802136941804
"21",21,"21",401.105,23,12,1,12,35,12,95,0.0535482982079957,"DBSCAN",0.000156748859195966,15.1101225238697,14.8754592874072,6.16637785614112,35.6404008770913,15.5222183868597,7.17180932405013,7.63342118695703,1.24996166235492,0.000227337816348451,10.4183919154811
"22",22,"22",323.242,21,12,0,38,40,12,123,0.0560682435066342,"DBSCAN",0.000164125350401411,11.6296439278656,12.97151089751,5.88923461218748,0,46.9445156290837,7.8279745305569,7.29034277697752,1.15450512310407,0.000209976578925709,9.09015374224139
